"gloss","id"
"a_m",4
"a_t_m",1
"a_t_ms",1
"aardvark",28
"aardvarks",6
"abandon",1
"abbreviation",2
"abc",57
"abc's",15
"abcs",93
"abilities",3
"ability",11
"absence",1
"absolute",4
"abstract",6
"abuse",4
"abyss",2
"accent",17
"access",9
"accessories",3
"accessory",1
"accident",216
"accidents",24
"accommodations",1
"accomplice",1
"accomplishment",3
"accordion",14
"account",3
"accountant",1
"accounts",2
"accreditation",1
"accuracy",1
"ace",5
"aces",4
"ache",194
"aches",1
"achievement",2
"achoo",30
"achooie",3
"achooies",6
"achoos",1
"acid",1
"acknowledgements",1
"acorn",50
"acorns",43
"acquaintance",1
"acquisition",1
"acre",5
"acreage",1
"acres",1
"acrobat",12
"acrobats",6
"act",72
"action",37
"action's",1
"actions",6
"activator",2
"active",19
"activities",22
"activity",25
"actor",8
"actors",2
"actress",2
"acts",4
"actuality",2
"ad",5
"adaptation",1
"adapters",1
"addict",5
"addition",11
"additions",2
"address",55
"addresses",2
"adenoids",2
"adhesive",1
"adjective",5
"adjectives",3
"adjustment",3
"adjustments",1
"administration",1
"admirer",1
"admission",3
"admonition",2
"ado",3
"adoption",11
"adrenaline",1
"ads",11
"adult",29
"adults",42
"advance",17
"advantage",13
"adventure",47
"adventurers",1
"adventures",20
"adverbs",1
"advertisement",13
"advertisements",4
"advice",14
"advisor",3
"advocates",1
"aerial",2
"aerials",1
"aeroplane",1
"aerosol",3
"aesthetic",1
"affair",2
"affairs",1
"affect",3
"affection",7
"affects",1
"afghan",1
"african",3
"afro",5
"aftermath",2
"afternoon",281
"afternoons",10
"age",169
"agencies",1
"agency",1
"agenda",2
"agent",3
"ages",18
"aggravation",2
"aggressions",1
"agony",1
"agouti",2
"agreement",7
"aid",27
"aide",1
"aids",5
"aim",12
"air",628
"air's",2
"aircraft",4
"airline",6
"airplane",885
"airplane's",5
"airplanes",76
"airport",106
"airs",2
"aisle",17
"aisles",8
"alarm",47
"alarms",1
"albatross",1
"album",11
"albums",1
"alcohol",7
"alcoholic",3
"ale",28
"alert",3
"alfalfa",1
"algae",5
"alibi",1
"alien",14
"aliens",21
"allegiance",7
"allergies",4
"allergy",4
"alley",112
"alleys",1
"alliance",4
"alligator",245
"alligator's",4
"alligators",29
"allosaurus",1
"allowance",17
"ally",7
"almanac",2
"almond",83
"almonds",28
"alpaca",2
"alpha",3
"alphabet",146
"alphabets",14
"alphabits",2
"alternate",2
"alternates",1
"alternative",1
"altostratus",1
"alum",1
"aluminum",10
"amaranth",5
"amateur",1
"amateurs",1
"amazement",4
"ambivalence",1
"ambulance",148
"ambulances",2
"amendment",1
"amenity",1
"amethyst",1
"amigo",2
"amigos",5
"ammonia",3
"amoebas",1
"amount",131
"amounts",4
"amphibian",2
"amphibians",5
"amplifier",2
"amusement",11
"amusements",1
"anaconda",1
"anacondas",1
"analog",1
"analogy",2
"analysis",2
"anatomy",3
"ancestor",6
"ancestors",1
"anchor",5
"anchovies",2
"ancient",4
"androgyny",1
"anecdote",2
"anemone",24
"anesthetist",2
"angel",97
"angels",46
"anger",7
"angle",13
"angles",1
"animal",1019
"animal's",5
"animals",3024
"animator",1
"animosity",1
"anise",1
"ankle",31
"ankles",13
"ankylosaurus",6
"anniversary",7
"announcement",8
"announcements",5
"announcer",2
"anorexia",2
"answer",165
"answers",22
"ant",157
"ant's",1
"antelope",19
"antelopes",2
"antenna",54
"antenna's",1
"antennae",8
"antennaes",3
"antennas",6
"anthem",1
"anti",2
"antibiotic",5
"antibiotics",2
"anticipation",1
"antihistamine",2
"antique",5
"antiques",1
"antislavery",1
"antisocial",1
"antler",2
"antlers",20
"ants",173
"anvil",1
"anxiety",1
"apartment",45
"apartments",10
"apatosaurus",6
"apatosauruses",1
"ape",20
"aperitif",2
"apes",4
"apologies",1
"apology",2
"apostrophe",7
"apparatus",4
"apparel",2
"appeal",3
"appearance",1
"appendage",1
"appendages",1
"appendicitis",1
"appendix",1
"appetite",21
"appetizer",3
"apple",1941
"apple's",3
"apples",349
"appliance",3
"appliances",3
"application",2
"applications",1
"applie",1
"appointment",37
"appointments",3
"appreciation",2
"approach",6
"approximation",1
"apricot",33
"apricots",15
"apron",84
"aprons",1
"aqua",4
"aquarium",126
"aquariums",1
"arabesque",6
"aracari",1
"arachnids",1
"arboretum",2
"arc",2
"arcade",4
"arch",16
"archaeologist",2
"archaeology",1
"archaeopteryx",1
"archery",2
"arches",3
"archipelago",3
"architect",2
"architects",1
"arcs",1
"area",87
"areas",9
"arena",1
"argon",1
"argument",24
"arguments",8
"aristocrat",2
"ark",42
"arm",697
"arm's",1
"armadillo",45
"armadillos",13
"armie",1
"armies",5
"armoire",5
"armor",16
"armory",1
"arms",404
"army",59
"arnica",4
"arrangement",10
"arrangements",5
"array",6
"arrest",4
"arrival",1
"arrogance",1
"arrow",55
"arrow's",3
"arrowhead",3
"arrowheads",3
"arrows",20
"art",115
"arteries",1
"arthritis",1
"artichoke",5
"artichokes",3
"article",15
"articles",6
"articulation",2
"artillery",6
"artist",52
"artists",4
"artists's",1
"arts",9
"ascent",1
"ash",7
"ashes",63
"ashtray",12
"asparagus",31
"aspect",3
"asphalt",4
"aspidispra",3
"aspiration",1
"aspirator",2
"aspirin",28
"aspirins",3
"ass",9
"assemblies",1
"assessment",2
"assignment",10
"assignments",1
"assistance",3
"assistant",5
"associate",4
"associates",1
"association",6
"associations",1
"assortment",5
"assumption",1
"aster",1
"asterisk",1
"asteroid",9
"asteroids",6
"asthma",2
"astonishment",1
"astronaut",52
"astronauts",8
"astronomers",1
"athlete",4
"athletes",1
"atlas",6
"atmosphere",7
"atom",1
"atoms",3
"attachment",1
"attachments",4
"attack",32
"attackers",2
"attacks",1
"attempt",3
"attention",283
"attic",33
"attics",2
"attitude",16
"attraction",1
"audience",15
"audio",9
"audiotape",1
"audit",2
"audition",1
"augmentin",1
"aunt",173
"auntie",109
"aunts",17
"author",25
"auto",5
"autobot",4
"autograph",1
"automatic",2
"automobile",5
"autumn",18
"availability",2
"avalanche",2
"avatar",1
"avenue",36
"average",6
"aversion",1
"aversions",2
"aviary",4
"aviation",1
"avocado",65
"avocados",2
"award",5
"awards",1
"awareness",1
"awe",3
"awning",2
"ax",55
"axe",49
"axes",5
"axle",3
"axles",2
"azalea's",1
"azaleas",6
"b_ms",1
"baba",124
"babas",1
"babby",2
"babe",113
"babes",18
"babies",1117
"baboon",23
"baboons",7
"babushka",1
"baby",15033
"baby'll",4
"baby's",301
"babys",125
"bachelor",4
"back",1801
"backbone",2
"backbone'd",1
"backbones",1
"backdrop",1
"backer",1
"background",20
"backgrounds",2
"backhand",1
"backie",1
"backs",47
"backside",2
"bacon",122
"bacteria",13
"badge",12
"badger",12
"badges",5
"badminton",2
"bag",1324
"bag's",1
"bagel",123
"bagels",56
"baggage",11
"baggie",10
"baggies",4
"bagpipes",4
"bags",150
"bahbah",7
"bahbahs",2
"bait",11
"baker",47
"bakers",5
"bakery",33
"balance",66
"balcony",26
"baldie",2
"baldy",3
"bale",7
"bales",2
"ball",5258
"ball_ball",18
"ball's",14
"ballerina",56
"ballerinas",8
"ballet",226
"ballgame",4
"ballie",4
"ballies",2
"balloon",672
"balloon's",2
"balloons",299
"ballot",1
"ballroom",7
"balls",515
"balm",2
"baloney",47
"bamboo",11
"ban",1
"banana",826
"banana's",1
"bananas",260
"band",108
"band-aid",58
"band-aids",31
"bandage",16
"bandaid",115
"bandaid's",1
"bandaids",25
"bandana",11
"bandit",11
"bandits",4
"bands",19
"bang",954
"banger",3
"bangle",14
"bangs",45
"banister",3
"banjo",45
"banjos",2
"bank",154
"banker",2
"banks",3
"banner",4
"banners",3
"banquet",2
"banyan",3
"bap",1
"baps",1
"baptism",2
"bar",130
"barbarian",1
"barbecue",27
"barbell",5
"barbells",4
"barbeque",2
"barber",41
"barbers",1
"barbie",15
"barbies",6
"barfie",1
"bargain",7
"barge",10
"barges",1
"bark",143
"barks",10
"barley",15
"barn",576
"barnacles",4
"barns",9
"barnyard",20
